"suburb","postcode","freq"
"COLERAINE",3315,1
"COLLINGWOOD",3066,2
"COOLAROO",3048,4
"CORA LYNN",3814,1
"CORIO",3214,4
"COROROOKE",3254,1
"COWES",3922,2
"CRAIGIEBURN",3064,18
"CRANBOURNE",3977,10
"CRANBOURNE EAST",3977,1
"CRANBOURNE NORTH",3977,3
"CRANBOURNE SOUTH",3977,1
"CRANBOURNE WEST",3977,1
"CRESWICK",3363,1
"CROYDON",3136,16
"CROYDON HILLS",3136,2
"CROYDON NORTH",3136,1
"CROYDON SOUTH",3136,1
"DALLAS",3047,7
"DALLAS",3174,1
"DANDENONG",3175,15
"DANDENONG EAST",3175,1
"DANDENONG NORTH",3175,7
"DARNUM",3822,1
"DAYLESFORD",3460,1
"DEDERANG",3691,1
"DEER PARK",3023,6
"DELACOMBE",3356,1
"DELAHEY",3037,2
"DERRIMUT",3030,11
"DIAMOND CREEK",3089,7
"DIGGERS REST",3427,1
"DINGLEY VILLAGE",3172,7
"DON VALLEY",3139,1
"DONCASTER",3108,10
"DONCASTER EAST",3109,23
"DONVALE",3111,2
"DOREEN",3754,6
"DOVETON",3177,2
"DROMANA",3936,4
"DROUIN",3818,2
"DROUIN WEST",3818,1
"DRYSDALE",3222,4
"DUNKELD",3294,1
"EAGLEMONT",3084,2
"EAST BENDIGO",3550,2
"EAST BENTLEIGH",3165,1
"EAST GEELONG",3219,2
"EAST MALVERN",3145,1
"EAST MELBOURNE",3002,2
"EASTWOOD",3875,1
"ECHUCA",3564,3
"ECHUCA SOUTH",3564,1
"EDENHOPE",3318,1
"EDITHVALE",3196,2
"EILDON",3713,1
"ELLIMINYT",3250,2
"ELLINBANK",3821,1
"ELSTERNWICK",3185,9
"ELTHAM",3095,14
"ELTHAM NORTH",3095,2
"ELWOOD",3184,9
"EMERALD",3782,2
"ENDEAVOUR HILLS",3802,12
"EPPING",3076,15
"EPSOM",3551,1
"ESKDALE",3701,1
"ESSENDON",3040,6
"ESSENDON NORTH",3041,1
"EUMEMMERRING",3177,2
"FAIRFIELD",3078,4
"FALLS CREEK",3699,1
"FAWKNER",3060,10
"FERNTREE GULLY",3156,4
"FERNY CREEK",3786,1
"FITZROY",3065,9
"FITZROY NORTH",3068,9
"FLEMINGTON",3031,7
"FOOTSCRAY",3011,25
"FOREST HILL",3131,4
"FORREST",3236,1
"FOSTER",3960,1
"FOUNTAIN GATE",3805,2
"FRANKSTON",3199,16
"FRANKSTON EAST",3199,2
"FRANKSTON NORTH",3200,1
"FRANKSTON SOUTH",3199,2
"FRESHWATER CREEK",3217,1
"GARFIELD",3814,1
"GEELONG",3220,8
"GEELONG NORTH",3215,4
"GEELONG WEST",3218,6
"GEMBROOK",3783,3
"GISBORNE",3437,6
"GLADSTONE PARK",3043,2
"GLEN HUNTLY",3163,4
"GLEN IRIS",3146,16
"GLEN WAVERLEY",3150,27
"GLENBURN",3717,1
"GLENROWAN",3675,1
"GLENROY",3046,8
"GOLDEN SQUARE",3555,3
"GOWANBRAE",3043,1
"GREENSBOROUGH",3088,16
"GREENVALE",3059,3
"GRETA SOUTH",3675,1
"GREYTHORN",3104,1
"GROVEDALE",3216,2
"HADDON",3351,2
"HADFIELD",3046,2
"HALLAM",3803,1
"HAMILTON",3300,5
"HAMPTON",3188,6
"HAMPTON EAST",3188,1
"HAMPTON PARK",3976,8
"HARKAWAY",3806,1
"HASTINGS",3915,7
"HAWTHORN",3122,11
"HAWTHORN EAST",3123,7
"HEALESVILLE",3777,3
"HEATHMONT",3135,3
"HEATHMONT EAST",3135,4
"HEIDELBERG",3084,3
"HEIDELBERG WEST",3081,4
"HERNE HILL",3218,1
"HIGHETT",3190,1
"HIGHTON",3216,4
"HILLSIDE",3037,8
"HOLMESGLEN",3148,1
"HOPPERS CROSSING",3029,23
"HORSHAM",3400,2
"HUGHESDALE",3166,1
"HUNTLY",3551,1
"HURSTBRIDGE",3099,3
"INVERLOCH",3996,1
"IRYMPLE",3498,1
"IVANHOE",3079,7
"IVANHOE EAST",3079,1
"KALLISTA",3791,3
"KANGAROO GROUND",3097,2
"KEALBA",3021,3
"KEILOR",3036,6
"KEILOR DOWNS",3038,2
"KEILOR EAST",3033,2
"KEILOR PARK",3042,1
"KENNINGTON",3550,1
"KENSINGTON",3031,7
"KENSINGTON BANKS",3031,1
"KERANG",3579,1
"KERRIMUIR",3129,2
"KEW",3101,15
"KEW EAST",3102,3
"KEYSBOROUGH",3173,8
"KIALLA",3631,3
"KIALLA WEST",3631,1
"KILMORE",3764,3
"KILSYTH",3137,5
"KILSYTH SOUTH",3137,1
"KINGLAKE",3763,2
"KINGLAKE CENTRAL",3757,1
"KINGLAKE WEST",3757,1
"KINGS PARK",3021,4
"KINGSBURY",3083,1
"KNOXFIELD",3180,2
"KOORLONG",3501,1
"KOROIT",3282,1
"KORUMBURRA",3950,4
"KURUNJANG",3337,3
"KYABRAM",3619,3
"KYABRAM",3620,1
"KYNETON",3444,2
"LA TROBE UNIVERSITY",3086,1
"LAKE BOGA",3584,1
"LAKE GARDENS",3355,1
"LAKES ENTRANCE",3909,1
"LALOR",3075,7
"LANCEFIELD",3435,1
"LANGWARRIN",3910,11
"LARA",3212,2
"LAUNCHING PLACE",3139,1
"LAVERS HILL",3238,1
"LAVERTON",3028,1
"LAVERTON NORTH",3026,1
"LEONGATHA",3953,3
"LEOPOLD",3224,1
"LILYDALE",3140,8
"LIMA SOUTH",3673,1
"LINDENOW",3865,1
"LITTLE RIVER",3211,2
"LOCH",3945,1
"LOCKWOOD",3551,1
"LOCKWOOD SOUTH",3551,1
"LONDRIGAN",3678,1
"LONGWARRY",3816,1
"LORNE",3232,1
"LOWER PLENTY",3093,3
"LUCKNOW",3875,1
"LYNBROOK",3975,2
"LYNDHURST",3975,2
"MACCLESFIELD",3782,1
"MACEDON",3440,2
"MACLEOD",3085,3
"MAIDEN GULLY",3551,1
"MAIDSTONE",3012,4
"MALLACOOTA",3892,1
"MALMSBURY",3446,1
"MALVERN",3144,12
"MALVERN EAST",3145,12
"MANSFIELD",3722,5
"MANSFIELD",3724,1
"MARIBYRNONG",3032,5
"MARONG",3515,1
"MARYBOROUGH",3465,1
"MARYSVILLE",3779,1
"MCCRAE",3938,1
"MEADOW HEIGHTS",3048,8
"MEENIYAN",3956,1
"MELBOURNE",3000,11
"MELBOURNE",3001,6
"MELBOURNE",3004,1
"MELBOURNE",8001,2
"MELBOURNE",8005,1
"MELTON",3337,5
"MELTON SOUTH",3337,1
"MELTON SOUTH",3338,6
"MELTON WEST",3337,5
"MENTONE",3194,7
"MENZIES CREEK",3159,1
"MERBEIN",3505,3
"MEREDITH",3333,2
"MERNDA",3754,5
"MICKLEHAM",3064,1
"MIDDLE PARK",3206,8
"MILDURA",3500,9
"MILDURA",3501,1
"MILDURA",3502,2
"MILDURA SOUTH",3501,2
"MILL PARK",3082,10
"MINERS REST",3352,1
"MITCHAM",3132,5
"MITCHAM NORTH",3132,1
"MOE",3825,1
"MONBULK",3793,2
"MONT ALBERT",3127,1
"MONT ALBERT NORTH",3129,2
"MONTMORENCY",3094,3
"MONTROSE",3765,2
"MOONEE PONDS",3039,2
"MOONEE VALE",3055,1
"MOORABBIN",3189,2
"MOOROODUC",3933,1
"MOOROOLBARK",3138,14
"MORDIALLOC",3195,3
"MORELAND",3058,7
"MORIAC",3240,2
"MORNINGTON",3931,13
"MORTLAKE",3272,2
"MORWELL",3840,2
"MOUNT BEAUTY",3699,1
"MOUNT DUNEED",3216,1
"MOUNT ELIZA",3930,5
"MOUNT EVELYN",3796,6
"MOUNT HELEN",3350,1
"MOUNT MACEDON",3441,1
"MOUNT MARTHA",3934,7
"MOUNT WAVERLEY",3149,17
"MOYHU",3732,2
"MT EVELYN",3796,1
"MT WAVERLEY",3149,1
"MULGRAVE",3170,5
"MURCHISON",3610,2
"MURRUMBEENA",3163,3
"MYRNIONG",3341,1
"MYRTLEFORD",3737,2
"NAPOLEONS",3352,1
"NARRAWONG",3285,1
"NARRE WARREN",3805,8
"NARRE WARREN EAST",3804,2
"NARRE WARREN NORTH",3804,3
"NARRE WARREN SOUTH",3805,4
"NATHALIA",3638,1
"NEERIM SOUTH",3831,1
"NEW GISBORNE",3437,1
"NEW GISBORNE",3438,1
"NEWBOROUGH",3825,1
"NEWHAVEN",3925,1
"NEWPORT",3015,3
"NEWTOWN",3220,8
"NIDDRIE",3042,10
"NILMA",3821,1
"NOBLE PARK",3174,14
"NOBLE PARK",3175,1
"NOBLE PARK NORTH",3174,2
"NORLANE",3214,1
"NORTH MELBOURNE",3051,11
"NORTHCOTE",3070,7
"NORTHLAND CENTRE",3072,2
"NOTTING HILL",3168,1
"NUMURKAH",3636,2
"NUNAWADING",3131,4
"OAK PARK",3046,3
"OAKLEIGH",3166,3
"OAKLEIGH EAST",3166,1
"OAKLEIGH SOUTH",3167,3
"OCEAN GROVE",3226,3
"OFFICER",3809,4
"OLINDA",3788,1
"ORBOST",3888,2
"ORMOND",3204,3
"OSBORNES FLAT",3691,1
"OUYEN",3490,1
"OXLEY",3678,1
"PAKENHAM",3810,9
"PANTON HILL",3759,2
"PARK ORCHARDS",3114,2
"PARKDALE",3194,1
"PARKDALE",3195,4
"PARKVILLE",3052,4
"PASCOE VALE",3044,4
"PASCOE VALE SOUTH",3044,3
"PATTERSON",3204,1
"PATTERSON LAKES",3197,6
"PAYNESVILLE",3880,1
"PEARCEDALE",3912,1
"PLENTY",3090,3
"POINT COOK",3030,16
"POINT LONSDALE",3225,1
"POREPUNKAH",3740,1
"PORT FAIRY",3284,3
"PORT MELBOURNE",3207,4
"PORTLAND",3305,3
"PRAHRAN",3181,2
"PRAHRAN EAST",3181,1
"PRESTON",3072,16
"PRESTON WEST",3072,1
"PUCKAPUNYAL",3662,1
"PYALONG",3521,1
"QUARRY HILL",3550,1
"QUEENSCLIFF",3225,2
"RANGEVIEW",3132,1
"RED CLIFFS",3496,1
"RED HILL",3937,2
"RESEARCH",3095,2
"RESERVOIR",3073,13
"RICHMOND",3121,13
"RICHMOND NORTH",3121,2
"RIDDELLS CREEK",3431,6
"RINGWOOD",3134,6
"RINGWOOD EAST",3135,5
"RINGWOOD NORTH",3134,6
"ROBINVALE",3549,2
"ROMSEY",3434,1
"ROSANNA",3084,2
"ROSEBUD",3930,1
"ROSEBUD",3939,5
"ROSEBUD WEST",3940,2
"ROSEDALE",3847,2
"ROWVILLE",3178,15
"ROXBURGH PARK",3064,7
"RUSHWORTH",3612,1
"RUTHERGLEN",3685,2
"RYE",3941,2
"SAFETY BEACH",3936,1
"SALE",3850,4
"SAN REMO",3925,2
"SANCTUARY LAKES",3030,2
"SANDHURST",3977,1
"SANDOWN VILLAGE",3171,1
"SANDRINGHAM",3191,11
"SCARSDALE",3351,1
"SCORESBY",3179,2
"SEABROOK",3028,2
"SEAFORD",3198,13
"SEBASTOPOL",3356,1
"SELBY",3159,1
"SEVILLE",3139,3
"SEYMOUR",3660,2
"SHELFORD",3329,1
"SHEPPARTON",3630,9
"SHEPPARTON",3632,5
"SHEPPARTON EAST",3631,1
"SKYE",3977,1
"SOMERS",3927,3
"SOMERTON",3062,3
"SOMERVILLE",3912,3
"SORRENTO",3943,2
"SOUTH KINGSVILLE",3015,4
"SOUTH MELBOURNE",3205,28
"SOUTH MORANG",3752,9
"SOUTH WHARF",3006,1
"SOUTH YARRA",3141,6
"SOUTHBANK",3006,1
"SPOTSWOOD",3015,1
"SPRING GULLY",3550,1
"SPRINGVALE",3171,10
"SPRINGVALE SOUTH",3172,7
"ST ALBANS",3021,9
"ST ANDREWS",3761,1
"ST HELENA",3088,1
"ST KILDA",3182,8
"ST KILDA EAST",3183,6
"STAWELL",3380,3
"STRATHFIELDSAYE",3551,3
"STRATHMERTON",3641,1
"STRATHMORE",3041,1
"SUNBURY",3429,6
"SUNSHINE",3020,12
"SUNSHINE NORTH",3020,3
"SUNSHINE WEST",3020,5
"SURREY HILLS",3127,9
"SWAN HILL",3585,3
"SYDENHAM",3037,6
"TALLANGATTA",3700,1
"TALLYGAROOPNA",3634,1
"TANGAMBALANGA",3691,1
"TARNEIT",3029,32
"TATURA",3616,3
"TAYLORS HILL",3037,2
"TAYLORS LAKES",3038,5
"TECOMA",3160,2
"TEESDALE",3328,1
"TEMPLESTOWE",3106,5
"TEMPLESTOWE LOWER",3107,5
"TERANG",3264,2
"THE BASIN",3154,1
"THE PATCH",3792,1
"THOMASTOWN",3074,13
"THORNBURY",3071,8
"TOOLAMBA",3614,1
"TOORADIN",3980,2
"TOORAK",3142,5
"TOOTGAROOK",3941,1
"TORQUAY",3228,12
"TRARALGON",3844,1
"TRUGANINA",3029,26
"TULLAMARINE",3043,2
"TYABB",3913,5
"TYLDEN",3444,1
"UPPER FERNTREE GULLY",3156,4
"UPWEY",3158,3
"VERMONT",3133,5
"VERMONT SOUTH",3133,8
"VIEWBANK",3084,3
"VIOLET TOWN",3669,1
"WALLACE",3352,1
"WALLAN",3756,2
"WANDIN NORTH",3139,2
"WANGARATTA",3676,5
"WANGARATTA",3677,4
"WANTIRNA",3152,10
"WANTIRNA SOUTH",3152,6
"WARRACKNABEAL",3393,1
"WARRAGUL",3820,6
"WARRANDYTE",3113,5
"WARRANDYTE SOUTH",3134,2
"WARRANWOOD",3134,5
"WARRNAMBOOL",3280,4
"WATERWAYS",3195,1
"WATSONIA",3087,3
"WATSONIA NORTH",3087,1
"WATTLETREE ROAD PO",3145,1
"WAURN PONDS",3216,1
"WEDDERBURN",3518,1
"WENDOUREE",3355,3
"WERRIBEE",3030,18
"WERRIMULL",3496,1
"WEST FOOTSCRAY",3012,4
"WESTMEADOWS",3049,3
"WHEELERS HILL",3150,10
"WHITFIELD",3733,2
"WHITTLESEA",3757,3
"WHOROULY",3735,1
"WILLAURA",3379,1
"WILLIAMS LANDING",3027,5
"WILLIAMSTOWN",3016,7
"WILLOW GROVE",3825,1
"WINCHELSEA",3241,1
"WINDSOR",3181,3
"WODONGA",3689,4
"WODONGA",3690,9
"WOLLERT",3750,2
"WONGA PARK",3115,2
"WONTHAGGI",3995,3
"WOODFORD",3281,2
"WOORI YALLOCK",3139,3
"WYNDHAM VALE",3024,10
"YACKANDANDAH",3749,1
"YALLOURN NORTH",3825,1
"YARRA GLEN",3775,2
"YARRA JUNCTION",3797,4
"YARRAGON",3823,1
"YARRAM",3971,2
"YARRAMBAT",3091,3
"YARRAVILLE",3013,5
"YARRAWONGA",3730,2
"YEA",3717,3
